,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
61,Bchen2017,Tue Mar 13 20:52:53 +0000 2018,973663210875342848,London weather as of 03:52 PM: 44.04,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
62,Bchen2017,Tue Mar 13 18:14:28 +0000 2018,973623343671861249,London weather as of 01:14 PM: 50.18,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
63,Bchen2017,Tue Mar 13 17:13:27 +0000 2018,973607985409904640,London weather as of 12:13 PM: 50,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
64,Bchen2017,Tue Mar 13 13:21:50 +0000 2018,973549698815594496,Can't stop. Won't stop. Chatting! This is Tweet #4!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
65,Bchen2017,Tue Mar 13 13:20:50 +0000 2018,973549445961961472,Can't stop. Won't stop. Chatting! This is Tweet #3!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
66,Bchen2017,Tue Mar 13 13:19:49 +0000 2018,973549192999206914,Can't stop. Won't stop. Chatting! This is Tweet #2!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
67,Bchen2017,Tue Mar 13 13:18:49 +0000 2018,973548940086915072,Can't stop. Won't stop. Chatting! This is Tweet #1!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
68,Bchen2017,Tue Mar 13 13:17:49 +0000 2018,973548686457307136,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
69,Bchen2017,Tue Mar 13 05:42:46 +0000 2018,973434168771301376,London weather as of 12:42 AM: 42.12,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
70,Bchen2017,Tue Mar 13 04:42:45 +0000 2018,973419066907033600,London weather as of 11:42 PM: 41.79,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
71,Bchen2017,Tue Mar 13 03:42:44 +0000 2018,973403961632935937,London weather as of 10:42 PM: 41.79,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
72,Bchen2017,Tue Mar 13 01:42:08 +0000 2018,973373613993857024,London weather as of 08:42 PM: 43.02,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
73,Bchen2017,Tue Mar 13 01:00:08 +0000 2018,973363042665758720,Can't stop. Won't stop. Chatting! This is Tweet #0!,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5204,0.384,0.0,0.616
